discussion_id;link;link_place;link_type
4223;https://github.com/vercel/vercel/pull/5552#issuecomment-748602845;comment;pr
5512;https://github.com/vercel/vercel/pull/5526;comment;pr
3498;https://github.com/vercel/vercel/pull/3669;comment;pr
4910;https://github.com/vercel/vercel/pull/3431;comment;pr
4910;https://github.com/vercel/vercel/pull/4465;comment;pr
4132;https://github.com/vercel/vercel/pull/4161;comment;pr
4048;https://github.com/zeit/now/pull/3999;main;pr
4223;https://github.com/vercel/vercel/discussions/3896;comment;discussion
5234;https://github.com/vercel/vercel/discussions/3950;main;discussion
3978;https://github.com/vercel/vercel/discussions/3977;comment;discussion
3987;https://github.com/vercel/vercel/discussions/3985;main;discussion
3985;https://github.com/vercel/vercel/discussions/3987#discussioncomment-2547;comment;discussion
4889;https://github.com/vercel/vercel/discussions/3991#discussioncomment-2943;main;discussion
4708;https://github.com/vercel/vercel/discussions/4008;main;discussion
5765;https://github.com/vercel/vercel/discussions/4008#discussioncomment-114386;comment;discussion
4853;https://github.com/vercel/vercel/discussions/4021;main;discussion
4114;https://github.com/vercel/vercel/discussions/4029;main;discussion
4028;https://github.com/vercel/vercel/discussions/4029;comment;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussion-1104;comment;discussion
4114;https://github.com/vercel/vercel/discussions/4029#discussioncomment-10322;comment;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-3852;comment;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4305;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4305;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4305;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4305;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4308;comment;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4440;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4448;main;discussion
4114;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4455;comment;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4455;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4457;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4470;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4470;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4546;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-4556;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-5274;main;discussion
4029;https://github.com/vercel/vercel/discussions/4029#discussioncomment-5274;main;discussion
5622;https://github.com/vercel/vercel/discussions/4051;main;discussion
4085;https://github.com/vercel/vercel/discussions/4085#discussioncomment-1043592;main;discussion
5234;https://github.com/vercel/vercel/discussions/4092;main;discussion
